               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.020771,             0.01348,           0.0014213,             0.89686,             0.86412,             0.90493,             0.59206,            0.028251,             0.01137,           0.0056519,              0.0034,              0.0034,              0.0034
                 102,            0.019953,            0.012655,            0.001687,             0.90543,             0.86647,               0.903,             0.59153,            0.028392,            0.011569,           0.0047791,            0.003334,            0.003334,            0.003334
                 103,            0.020331,            0.013737,           0.0012762,              0.9042,             0.86699,             0.90551,             0.59172,            0.028484,            0.011518,           0.0056276,            0.003268,            0.003268,            0.003268
                 104,            0.020177,            0.013049,           0.0016038,              0.9004,             0.86466,             0.90433,             0.59728,            0.027368,            0.011338,           0.0047216,            0.003202,            0.003202,            0.003202
                 105,            0.019831,            0.012723,           0.0016317,             0.92919,             0.86615,             0.90529,             0.59144,            0.027688,            0.011578,           0.0039374,            0.003136,            0.003136,            0.003136
                 106,            0.019984,            0.013031,           0.0015464,             0.91464,             0.88242,              0.9102,             0.59449,            0.027514,            0.011451,           0.0032814,             0.00307,             0.00307,             0.00307
                 107,            0.020002,             0.01277,           0.0013857,             0.92662,             0.86653,             0.90749,             0.59728,            0.028806,            0.011467,           0.0042594,            0.003004,            0.003004,            0.003004
                 108,            0.019504,            0.012428,           0.0014949,             0.92033,             0.87485,             0.91136,             0.59475,            0.028632,            0.011773,           0.0032074,            0.002938,            0.002938,            0.002938
                 109,            0.019794,            0.012895,           0.0012813,             0.90588,             0.88865,             0.91275,             0.59937,            0.027566,            0.011657,           0.0031643,            0.002872,            0.002872,            0.002872
                 110,            0.019464,            0.013047,           0.0015164,             0.92509,             0.85621,             0.91047,             0.59362,            0.027505,            0.011688,           0.0031604,            0.002806,            0.002806,            0.002806
                 111,            0.019877,            0.012932,           0.0014859,             0.90924,             0.87615,             0.91556,             0.60046,            0.027224,            0.011529,            0.003364,             0.00274,             0.00274,             0.00274
                 112,            0.019691,            0.012487,           0.0014256,             0.89829,             0.88563,             0.90726,              0.5981,            0.026637,            0.011741,           0.0029029,            0.002674,            0.002674,            0.002674
                 113,             0.01992,            0.012412,           0.0012674,             0.91537,             0.87349,             0.90714,             0.59873,            0.027152,             0.01174,           0.0029786,            0.002608,            0.002608,            0.002608
                 114,            0.019159,             0.01299,           0.0012947,             0.91592,             0.87209,             0.90946,             0.60497,            0.026512,            0.011766,           0.0028882,            0.002542,            0.002542,            0.002542
                 115,            0.019704,            0.012187,           0.0012254,             0.93365,             0.85975,              0.9045,             0.59819,            0.027527,            0.011855,           0.0031844,            0.002476,            0.002476,            0.002476
                 116,             0.01927,            0.012939,           0.0013721,             0.90234,             0.88204,             0.90729,             0.60009,            0.026892,            0.011656,           0.0035558,             0.00241,             0.00241,             0.00241
                 117,            0.019277,            0.012555,           0.0013062,             0.91162,             0.87759,             0.91095,             0.59448,            0.027356,            0.011634,           0.0034287,            0.002344,            0.002344,            0.002344
                 118,            0.019144,            0.012386,           0.0016166,             0.92087,             0.86964,             0.90678,             0.59665,            0.027176,            0.011523,           0.0032537,            0.002278,            0.002278,            0.002278
                 119,            0.019338,            0.012334,           0.0013485,             0.93304,             0.86137,              0.9051,              0.5949,            0.027144,            0.011722,           0.0031888,            0.002212,            0.002212,            0.002212
                 120,            0.018997,            0.013193,           0.0012053,             0.93153,             0.86711,             0.91311,             0.60409,            0.026807,            0.011691,           0.0031195,            0.002146,            0.002146,            0.002146
                 121,            0.019014,            0.012719,           0.0010853,             0.90348,             0.88033,             0.91314,             0.60126,            0.026905,             0.01178,           0.0030874,             0.00208,             0.00208,             0.00208
                 122,            0.019144,            0.012721,           0.0010701,             0.92891,             0.86395,             0.91433,             0.59989,            0.027359,            0.011659,           0.0030742,            0.002014,            0.002014,            0.002014
                 123,            0.018567,             0.01249,           0.0010617,             0.91069,             0.87773,             0.91176,             0.60011,            0.027443,            0.011762,           0.0031176,            0.001948,            0.001948,            0.001948
                 124,            0.018713,            0.012595,           0.0010678,             0.91453,              0.8843,             0.90917,             0.59652,            0.027888,            0.011649,           0.0032782,            0.001882,            0.001882,            0.001882
                 125,            0.019102,            0.013185,           0.0012647,             0.93992,              0.8588,             0.91534,             0.60378,            0.027408,             0.01193,           0.0036726,            0.001816,            0.001816,            0.001816
                 126,            0.018618,            0.012886,          0.00092545,             0.91653,             0.87983,             0.91673,             0.59669,            0.027195,            0.011953,            0.002843,             0.00175,             0.00175,             0.00175
                 127,            0.018386,            0.012606,           0.0010332,             0.90869,             0.87671,             0.91281,             0.60435,            0.027796,            0.011911,           0.0030938,            0.001684,            0.001684,            0.001684
                 128,            0.018629,            0.011966,           0.0012929,             0.91902,             0.86951,             0.91028,             0.59875,            0.028284,             0.01187,            0.003402,            0.001618,            0.001618,            0.001618
                 129,            0.018224,            0.012332,           0.0020122,             0.92242,              0.8691,             0.91447,             0.59918,            0.028052,            0.011969,           0.0032745,            0.001552,            0.001552,            0.001552
                 130,            0.017699,             0.01172,           0.0011897,             0.91845,              0.8828,             0.91473,              0.5973,            0.027601,            0.011893,           0.0035464,            0.001486,            0.001486,            0.001486
                 131,            0.018479,            0.012659,           0.0014176,               0.932,             0.87344,             0.91494,             0.60033,            0.027463,            0.012061,            0.003137,             0.00142,             0.00142,             0.00142
                 132,            0.018116,            0.011715,           0.0010067,             0.92843,             0.86563,             0.91021,             0.60584,            0.026967,            0.012099,           0.0032958,            0.001354,            0.001354,            0.001354
                 133,            0.018055,            0.011474,           0.0012748,             0.92076,             0.86932,             0.90965,             0.60308,            0.026835,            0.012018,           0.0034376,            0.001288,            0.001288,            0.001288
                 134,            0.017706,            0.011828,           0.0011401,             0.91727,             0.87372,             0.90967,             0.60649,            0.026967,            0.012053,            0.003422,            0.001222,            0.001222,            0.001222
                 135,            0.018076,            0.012092,          0.00098817,             0.92778,             0.86336,             0.91049,             0.60061,            0.026706,            0.012009,           0.0032157,            0.001156,            0.001156,            0.001156
                 136,            0.018402,            0.012326,           0.0010899,              0.9239,             0.86901,              0.9086,             0.59898,            0.027195,            0.012034,           0.0033887,             0.00109,             0.00109,             0.00109
                 137,            0.017962,            0.011797,          0.00099574,             0.92219,             0.86354,             0.91012,             0.60176,            0.027323,            0.011981,           0.0039748,            0.001024,            0.001024,            0.001024
                 138,            0.018018,            0.012038,           0.0010552,             0.92365,             0.86949,             0.91163,             0.60657,             0.02741,            0.011995,            0.003688,            0.000958,            0.000958,            0.000958
                 139,            0.017868,             0.01184,          0.00095317,             0.92761,             0.87031,             0.91345,             0.60625,            0.027393,            0.012066,           0.0033457,            0.000892,            0.000892,            0.000892
                 140,            0.018028,            0.011692,           0.0010071,             0.91647,             0.86955,              0.9097,             0.60386,            0.027409,             0.01224,           0.0033753,            0.000826,            0.000826,            0.000826
                 141,             0.01755,            0.012647,          0.00096827,             0.91941,             0.86811,              0.9121,             0.61182,            0.027116,            0.012078,           0.0034448,             0.00076,             0.00076,             0.00076
                 142,            0.017789,            0.012297,          0.00091718,             0.92096,             0.87281,             0.91481,             0.60627,            0.027243,            0.012044,           0.0033641,            0.000694,            0.000694,            0.000694
                 143,            0.017293,            0.011552,          0.00084245,             0.91436,             0.87879,             0.91413,             0.60686,            0.027266,            0.012173,           0.0034269,            0.000628,            0.000628,            0.000628
                 144,             0.01729,            0.012339,          0.00091332,             0.93836,              0.8604,             0.91407,             0.60803,            0.027155,            0.012201,           0.0037478,            0.000562,            0.000562,            0.000562
                 145,            0.017392,            0.011747,          0.00085298,             0.92632,             0.86731,             0.91287,              0.6044,            0.026947,             0.01218,           0.0036509,            0.000496,            0.000496,            0.000496
                 146,            0.017039,            0.011287,          0.00093643,             0.92903,             0.86605,             0.91116,             0.60356,            0.026666,            0.012182,           0.0033792,             0.00043,             0.00043,             0.00043
                 147,            0.017019,            0.011186,           0.0009326,             0.93012,             0.85987,             0.91174,             0.60456,            0.026673,            0.012118,           0.0033163,            0.000364,            0.000364,            0.000364
                 148,            0.017328,            0.011666,            0.001005,             0.92282,             0.86757,             0.91384,             0.60445,            0.026894,             0.01215,           0.0034286,            0.000298,            0.000298,            0.000298
                 149,            0.017608,            0.011935,          0.00098328,             0.92496,               0.866,             0.91428,             0.60516,            0.026921,            0.012121,           0.0034626,            0.000232,            0.000232,            0.000232
